0.0,90.0,90.0,0
45.0,90.0,90.0,1
90.0,90.0,90.0,0
135.0,90.0,90.0,1
180.0,90.0,90.0,0
90.0,0.0,90.0,1
90.0,45.0,90.0,0
90.0,135.0,90.0,1
90.0,180.0,90.0,0
90.0,90.0,0.0,1
90.0,90.0,45.0,0
90.0,90.0,135.0,1
90.0,90.0,180.0,0
0.0,0.0,0.0,1
180.0,180.0,180.0,0
45.0,45.0,45.0,1
135.0,135.0,135.0,0
90.0,45.0,45.0,1
45.0,90.0,45.0,0
45.0,45.0,90.0,1
30.0,60.0,90.0,0
60.0,90.0,120.0,1
120.0,90.0,60.0,0
150.0,120.0,30.0,1
15.0,30.0,45.0,0
75.0,105.0,135.0,1
165.0,150.0,135.0,0
120.0,75.0,60.0,1
45.0,120.0,75.0,0
90.0,60.0,150.0,1
30.0,150.0,90.0,0
150.0,30.0,90.0,1
90.0,120.0,30.0,0
60.0,30.0,120.0,1
120.0,150.0,60.0,0
